index,1, rsu_latitude, rsu_longitude,obu lat,obu lng,0, distance, rssi
6,1,374124620,1271229770,374136669,1271221608,0,0,-255
7,1,374124620,1271229770,374136552,1271221688,0,0,-255
8,1,374124620,1271229770,374136445,1271221760,0,0,-255
9,1,374124620,1271229770,374136339,1271221833,0,0,-255
10,1,374124620,1271229770,374136235,1271221904,0,0,-255
11,1,374124620,1271229770,374136130,1271221975,0,0,-255
12,1,374124620,1271229770,374136022,1271222048,0,0,-255
13,1,374124620,1271229770,374135911,1271222124,0,0,-255
14,1,374124620,1271229770,374135801,1271222199,0,0,-255
15,1,374124620,1271229770,374135690,1271222274,0,0,-255
16,1,374124620,1271229770,374135579,1271222349,0,0,-255
17,1,374124620,1271229770,374135458,1271222432,0,0,-255
18,1,374124620,1271229770,374135349,1271222505,0,0,-255
19,1,374124620,1271229770,374135250,1271222573,0,0,-255
20,1,374124620,1271229770,374135126,1271222658,0,0,-255
21,1,374124620,1271229770,374135010,1271222736,0,0,-255
22,1,374124620,1271229770,374134895,1271222814,0,0,-255
23,1,374124620,1271229770,374134781,1271222892,0,0,-255
24,1,374124620,1271229770,374134667,1271222969,0,0,-255
25,1,374124620,1271229770,374134554,1271223046,0,0,-255
26,1,374124620,1271229770,374134430,1271223131,0,0,-255
27,1,374124620,1271229770,374134314,1271223209,0,0,-255
28,1,374124620,1271229770,374134195,1271223290,0,0,-255
29,1,374124620,1271229770,374134075,1271223372,0,0,-255
30,1,374124620,1271229770,374133957,1271223452,0,0,-255
31,1,374124620,1271229770,374133838,1271223533,0,0,-255
32,1,374124620,1271229770,374133719,1271223613,0,0,-255
33,1,374124620,1271229770,374133602,1271223693,0,0,-255
34,1,374124620,1271229770,374133485,1271223773,0,0,-255
35,1,374124620,1271229770,374133363,1271223856,0,0,-255
36,1,374124620,1271229770,374133226,1271223949,0,0,-255
37,1,374124620,1271229770,374133102,1271224033,0,0,-255
38,1,374124620,1271229770,374132979,1271224117,0,0,-255
39,1,374124620,1271229770,374132855,1271224201,0,0,-255
40,1,374124620,1271229770,374132734,1271224283,0,0,-255
41,1,374124620,1271229770,374132612,1271224366,0,0,-255
42,1,374124620,1271229770,374132488,1271224451,0,0,-255
43,1,374124620,1271229770,374132359,1271224538,0,0,-255
44,1,374124620,1271229770,374132218,1271224634,0,0,-255
45,1,374124620,1271229770,374132091,1271224720,0,0,-255
46,1,374124620,1271229770,374131964,1271224807,0,0,-255
47,1,374124620,1271229770,374131837,1271224893,0,0,-255
48,1,374124620,1271229770,374131711,1271224978,0,0,-255
49,1,374124620,1271229770,374131585,1271225064,0,0,-255
50,1,374124620,1271229770,374131453,1271225154,0,0,-255
51,1,374124620,1271229770,374131320,1271225244,0,0,-255
52,1,374124620,1271229770,374131189,1271225334,0,0,-255
53,1,374124620,1271229770,374131056,1271225423,0,0,-255
54,1,374124620,1271229770,374130912,1271225522,0,0,-255
55,1,374124620,1271229770,374130781,1271225611,0,0,-255
56,1,374124620,1271229770,374130651,1271225699,0,0,-255
57,1,374124620,1271229770,374130518,1271225790,0,0,-255
58,1,374124620,1271229770,374130380,1271225883,0,0,-255
59,1,374124620,1271229770,374130243,1271225976,0,0,-255
60,1,374124620,1271229770,374130106,1271226069,0,0,-255
61,1,374124620,1271229770,374129970,1271226162,0,0,-255
62,1,374124620,1271229770,374129834,1271226254,0,0,-255
63,1,374124620,1271229770,374129700,1271226345,0,0,-255
64,1,374124620,1271229770,374129551,1271226447,0,0,-255
65,1,374124620,1271229770,374129412,1271226541,0,0,-255
66,1,374124620,1271229770,374129272,1271226636,0,0,-255
67,1,374124620,1271229770,374129132,1271226731,0,0,-255
68,1,374124620,1271229770,374128993,1271226826,0,0,-255
69,1,374124620,1271229770,374128854,1271226920,0,0,-255
70,1,374124620,1271229770,374128728,1271227006,0,0,-255
71,1,374124620,1271229770,374128575,1271227110,0,0,-255
72,1,374124620,1271229770,374128422,1271227214,0,0,-255
73,1,374124620,1271229770,374128282,1271227309,0,0,-255
74,1,374124620,1271229770,374128143,1271227404,0,0,-255
75,1,374124620,1271229770,374128004,1271227498,0,0,-255
76,1,374124620,1271229770,374127864,1271227593,0,0,-255
77,1,374124620,1271229770,374127724,1271227688,0,0,-255
78,1,374124620,1271229770,374127584,1271227784,0,0,-255
79,1,374124620,1271229770,374127443,1271227879,0,0,-255
80,1,374124620,1271229770,374127303,1271227975,0,0,-255
81,1,374124620,1271229770,374127163,1271228069,0,0,-255
82,1,374124620,1271229770,374127008,1271228175,0,0,-255
83,1,374124620,1271229770,374126868,1271228270,0,0,-255
84,1,374124620,1271229770,374126727,1271228366,0,0,-255
85,1,374124620,1271229770,374126586,1271228462,0,0,-255
86,1,374124620,1271229770,374126445,1271228557,0,0,-255
87,1,374124620,1271229770,374126304,1271228653,0,0,-255
88,1,374124620,1271229770,374126163,1271228749,0,0,-255
89,1,374124620,1271229770,374126022,1271228845,0,0,-255
90,1,374124620,1271229770,374125866,1271228951,0,0,-255
91,1,374124620,1271229770,374125724,1271229048,0,0,-255
92,1,374124620,1271229770,374125582,1271229144,0,0,-255
93,1,374124620,1271229770,374125441,1271229240,0,0,-255
94,1,374124620,1271229770,374125298,1271229337,0,0,-255
95,1,374124620,1271229770,374125156,1271229434,0,0,-255
96,1,374124620,1271229770,374125014,1271229531,0,0,-255
97,1,374124620,1271229770,374124857,1271229637,0,0,-255
98,1,374124620,1271229770,374124715,1271229734,0,0,-255
99,1,374124620,1271229770,374124572,1271229831,0,0,-255
100,1,374124620,1271229770,374124429,1271229928,0,0,-255
101,1,374124620,1271229770,374124286,1271230025,0,0,-255
102,1,374124620,1271229770,374124143,1271230122,0,0,-255
103,1,374124620,1271229770,374124000,1271230219,0,0,-255
104,1,374124620,1271229770,374123858,1271230316,0,0,-255
105,1,374124620,1271229770,374123714,1271230414,0,0,-255
106,1,374124620,1271229770,374123557,1271230521,0,0,-255
107,1,374124620,1271229770,374123413,1271230618,0,0,-255
108,1,374124620,1271229770,374123270,1271230715,0,0,-255
109,1,374124620,1271229770,374123127,1271230813,0,0,-255
110,1,374124620,1271229770,374122983,1271230911,0,0,-255
111,1,374124620,1271229770,374122840,1271231008,0,0,-255
112,1,374124620,1271229770,374122696,1271231106,0,0,-255
113,1,374124620,1271229770,374122552,1271231204,0,0,-255
114,1,374124620,1271229770,374122408,1271231302,0,0,-255
115,1,374124620,1271229770,374122250,1271231409,0,0,-255
116,1,374124620,1271229770,374122105,1271231507,0,0,-255
117,1,374124620,1271229770,374121961,1271231605,0,0,-255
118,1,374124620,1271229770,374121817,1271231703,0,0,-255
119,1,374124620,1271229770,374121673,1271231801,0,0,-255
120,1,374124620,1271229770,374121529,1271231899,0,0,-255
121,1,374124620,1271229770,374121385,1271231997,0,0,-255
122,1,374124620,1271229770,374121242,1271232094,0,0,-255
123,1,374124620,1271229770,374121098,1271232192,0,0,-255
124,1,374124620,1271229770,374120941,1271232299,0,0,-255
125,1,374124620,1271229770,374120798,1271232396,0,0,-255
126,1,374124620,1271229770,374120656,1271232493,0,0,-255
127,1,374124620,1271229770,374120514,1271232589,0,0,-255
128,1,374124620,1271229770,374120372,1271232685,0,0,-255
129,1,374124620,1271229770,374120231,1271232781,0,0,-255
130,1,374124620,1271229770,374120089,1271232878,0,0,-255
131,1,374124620,1271229770,374119947,1271232974,0,0,-255
132,1,374124620,1271229770,374119806,1271233070,0,0,-255
133,1,374124620,1271229770,374119653,1271233174,0,0,-255
134,1,374124620,1271229770,374119515,1271233268,0,0,-255
135,1,374124620,1271229770,374119376,1271233362,0,0,-255
136,1,374124620,1271229770,374119238,1271233456,0,0,-255
137,1,374124620,1271229770,374119101,1271233549,0,0,-255
138,1,374124620,1271229770,374118963,1271233643,0,0,-255
139,1,374124620,1271229770,374118826,1271233736,0,0,-255
140,1,374124620,1271229770,374118688,1271233830,0,0,-255
141,1,374124620,1271229770,374118551,1271233923,0,0,-255
142,1,374124620,1271229770,374118400,1271234026,0,0,-255
143,1,374124620,1271229770,374118262,1271234120,0,0,-255
144,1,374124620,1271229770,374118123,1271234214,0,0,-255
145,1,374124620,1271229770,374117985,1271234308,0,0,-255
146,1,374124620,1271229770,374117846,1271234403,0,0,-255
147,1,374124620,1271229770,374117705,1271234498,0,0,-255
148,1,374124620,1271229770,374117565,1271234593,0,0,-255
149,1,374124620,1271229770,374117426,1271234688,0,0,-255
150,1,374124620,1271229770,374117287,1271234782,0,0,-255
151,1,374124620,1271229770,374117132,1271234888,0,0,-255
152,1,374124620,1271229770,374116991,1271234983,0,0,-255
153,1,374124620,1271229770,374116851,1271235078,0,0,-255
154,1,374124620,1271229770,374116713,1271235173,0,0,-255
155,1,374124620,1271229770,374116573,1271235268,0,0,-255
156,1,374124620,1271229770,374116432,1271235363,0,0,-255
157,1,374124620,1271229770,374116293,1271235458,0,0,-255
158,1,374124620,1271229770,374116153,1271235553,0,0,-255
159,1,374124620,1271229770,374116014,1271235647,0,0,-255
160,1,374124620,1271229770,374115874,1271235743,0,0,-255
161,1,374124620,1271229770,374115721,1271235846,0,0,-255
162,1,374124620,1271229770,374115582,1271235941,0,0,-255
