index,1, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,0, distance, rssi
1,1,374124620,1271229770,374133257,1271216058,0,0,-255
2,1,374124620,1271229770,374134491,1271219736,0,0,-255
3,1,374124620,1271229770,374134491,1271219736,0,0,-255
4,1,374124620,1271229770,374134491,1271219736,0,0,-255
5,1,374124620,1271229770,374134491,1271219736,0,0,-255
6,1,374124620,1271229770,374134491,1271219736,0,0,-255
7,1,374124620,1271229770,374134491,1271219736,0,0,-255
8,1,374124620,1271229770,374134491,1271219736,0,0,-255
9,1,374124620,1271229770,374134491,1271219736,0,0,-255
10,1,374124620,1271229770,374134491,1271219736,0,0,-255
11,1,374124620,1271229770,374134491,1271219736,0,0,-255
12,1,374124620,1271229770,374134545,1271219932,0,0,-255
13,1,374124620,1271229770,374134545,1271219932,0,0,-255
14,1,374124620,1271229770,374134545,1271219932,0,0,-255
15,1,374124620,1271229770,374134545,1271219932,0,0,-255
16,1,374124620,1271229770,374134545,1271219932,0,0,-255
17,1,374124620,1271229770,374134545,1271219932,0,0,-255
18,1,374124620,1271229770,374134545,1271219932,0,0,-255
19,1,374124620,1271229770,374134545,1271219932,0,0,-255
20,1,374124620,1271229770,374134545,1271219932,0,0,-255
21,1,374124620,1271229770,374134545,1271219932,0,0,-255
22,1,374124620,1271229770,374134583,1271220086,0,0,-255
23,1,374124620,1271229770,374134583,1271220086,0,0,-255
24,1,374124620,1271229770,374134583,1271220086,0,0,-255
25,1,374124620,1271229770,374134583,1271220086,0,0,-255
26,1,374124620,1271229770,374134583,1271220086,0,0,-255
27,1,374124620,1271229770,374134583,1271220086,0,0,-255
28,1,374124620,1271229770,374134583,1271220086,0,0,-255
29,1,374124620,1271229770,374134583,1271220086,0,0,-255
30,1,374124620,1271229770,374134583,1271220086,0,0,-255
31,1,374124620,1271229770,374134583,1271220086,0,0,-255
32,1,374124620,1271229770,374134625,1271220235,0,0,-255
33,1,374124620,1271229770,374134625,1271220235,0,0,-255
34,1,374124620,1271229770,374134625,1271220235,0,0,-255
35,1,374124620,1271229770,374134625,1271220235,0,0,-255
36,1,374124620,1271229770,374134625,1271220235,0,0,-255
37,1,374124620,1271229770,374134625,1271220235,0,0,-255
38,1,374124620,1271229770,374134625,1271220235,0,0,-255
39,1,374124620,1271229770,374134625,1271220235,0,0,-255
40,1,374124620,1271229770,374134625,1271220235,0,0,-255
41,1,374124620,1271229770,374134625,1271220235,0,0,-255
42,1,374124620,1271229770,374134626,1271220321,0,0,-255
43,1,374124620,1271229770,374134626,1271220321,0,0,-255
44,1,374124620,1271229770,374134626,1271220321,0,0,-255
45,1,374124620,1271229770,374134626,1271220321,0,0,-255
46,1,374124620,1271229770,374134626,1271220321,0,0,-255
47,1,374124620,1271229770,374134626,1271220321,0,0,-255
48,1,374124620,1271229770,374134626,1271220321,0,0,-255
49,1,374124620,1271229770,374134626,1271220321,0,0,-255
50,1,374124620,1271229770,374134626,1271220321,0,0,-255
51,1,374124620,1271229770,374134626,1271220321,0,0,-255
52,1,374124620,1271229770,374134594,1271220500,0,0,-255
53,1,374124620,1271229770,374134594,1271220500,0,0,-255
54,1,374124620,1271229770,374134594,1271220500,0,0,-255
55,1,374124620,1271229770,374134594,1271220500,0,0,-255
56,1,374124620,1271229770,374134594,1271220500,0,0,-255
57,1,374124620,1271229770,374134594,1271220500,0,0,-255
58,1,374124620,1271229770,374134594,1271220500,0,0,-255
59,1,374124620,1271229770,374134594,1271220500,0,0,-255
60,1,374124620,1271229770,374134594,1271220500,0,0,-255
61,1,374124620,1271229770,374134594,1271220500,0,0,-255
62,1,374124620,1271229770,374134515,1271220692,0,0,-255
63,1,374124620,1271229770,374134515,1271220692,0,0,-255
64,1,374124620,1271229770,374134515,1271220692,0,0,-255
65,1,374124620,1271229770,374134515,1271220692,0,0,-255
66,1,374124620,1271229770,374134515,1271220692,0,0,-255
67,1,374124620,1271229770,374134516,1271220692,0,0,-255
