index,1, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,0, distance, rssi
1,1,374124620,1271229770,374139882,1271210848,0,0,-255
2,1,374124620,1271229770,374139374,1271210822,0,0,-255
3,1,374124620,1271229770,374139148,1271212588,0,0,-255
4,1,374124620,1271229770,374138233,1271213670,0,0,-255
5,1,374124620,1271229770,374135325,1271217109,0,0,-255
6,1,374124620,1271229770,374130254,1271223106,0,0,-255
7,1,374124620,1271229770,374130211,1271223157,0,0,-255
8,1,374124620,1271229770,374130167,1271223208,0,0,-255
9,1,374124620,1271229770,374130120,1271223264,0,0,-255
10,1,374124620,1271229770,374130077,1271223316,0,0,-255
11,1,374124620,1271229770,374130033,1271223367,0,0,-255
12,1,374124620,1271229770,374129990,1271223418,0,0,-255
13,1,374124620,1271229770,374129947,1271223469,0,0,-255
14,1,374124620,1271229770,374129904,1271223519,0,0,-255
15,1,374124620,1271229770,374129861,1271223571,0,0,-255
16,1,374124620,1271229770,374129818,1271223622,0,0,-255
17,1,374124620,1271229770,374129774,1271223673,0,0,-255
18,1,374124620,1271229770,374129728,1271223728,0,0,-255
19,1,374124620,1271229770,374129685,1271223779,0,0,-255
20,1,374124620,1271229770,374129643,1271223829,0,0,-255
21,1,374124620,1271229770,374129600,1271223879,0,0,-255
22,1,374124620,1271229770,374129558,1271223929,0,0,-255
23,1,374124620,1271229770,374129515,1271223980,0,0,-255
24,1,374124620,1271229770,374129473,1271224030,0,0,-255
25,1,374124620,1271229770,374129431,1271224079,0,0,-255
26,1,374124620,1271229770,374129390,1271224128,0,0,-255
27,1,374124620,1271229770,374129349,1271224176,0,0,-255
28,1,374124620,1271229770,374129304,1271224230,0,0,-255
29,1,374124620,1271229770,374129264,1271224277,0,0,-255
30,1,374124620,1271229770,374129224,1271224324,0,0,-255
31,1,374124620,1271229770,374129181,1271224374,0,0,-255
32,1,374124620,1271229770,374129144,1271224419,0,0,-255
33,1,374124620,1271229770,374129100,1271224471,0,0,-255
34,1,374124620,1271229770,374129061,1271224517,0,0,-255
35,1,374124620,1271229770,374129022,1271224563,0,0,-255
36,1,374124620,1271229770,374128983,1271224609,0,0,-255
37,1,374124620,1271229770,374128942,1271224658,0,0,-255
38,1,374124620,1271229770,374128905,1271224702,0,0,-255
39,1,374124620,1271229770,374128867,1271224747,0,0,-255
40,1,374124620,1271229770,374128830,1271224790,0,0,-255
41,1,374124620,1271229770,374128792,1271224835,0,0,-255
42,1,374124620,1271229770,374128755,1271224878,0,0,-255
43,1,374124620,1271229770,374128718,1271224922,0,0,-255
44,1,374124620,1271229770,374128680,1271224967,0,0,-255
45,1,374124620,1271229770,374128639,1271225015,0,0,-255
46,1,374124620,1271229770,374128601,1271225061,0,0,-255
47,1,374124620,1271229770,374128564,1271225104,0,0,-255
48,1,374124620,1271229770,374128527,1271225149,0,0,-255
49,1,374124620,1271229770,374128489,1271225193,0,0,-255
50,1,374124620,1271229770,374128451,1271225238,0,0,-255
51,1,374124620,1271229770,374128413,1271225283,0,0,-255
52,1,374124620,1271229770,374128376,1271225327,0,0,-255
53,1,374124620,1271229770,374128339,1271225371,0,0,-255
54,1,374124620,1271229770,374128301,1271225416,0,0,-255
55,1,374124620,1271229770,374128257,1271225467,0,0,-255
56,1,374124620,1271229770,374128217,1271225515,0,0,-255
57,1,374124620,1271229770,374128177,1271225562,0,0,-255
58,1,374124620,1271229770,374128137,1271225609,0,0,-255
59,1,374124620,1271229770,374128099,1271225654,0,0,-255
60,1,374124620,1271229770,374128061,1271225699,0,0,-255
61,1,374124620,1271229770,374128024,1271225743,0,0,-255
62,1,374124620,1271229770,374127989,1271225785,0,0,-255
63,1,374124620,1271229770,374127953,1271225827,0,0,-255
64,1,374124620,1271229770,374127914,1271225874,0,0,-255
65,1,374124620,1271229770,374127878,1271225916,0,0,-255
66,1,374124620,1271229770,374127842,1271225959,0,0,-255
67,1,374124620,1271229770,374127805,1271226002,0,0,-255
68,1,374124620,1271229770,374127769,1271226045,0,0,-255
69,1,374124620,1271229770,374127733,1271226087,0,0,-255
70,1,374124620,1271229770,374127697,1271226130,0,0,-255
71,1,374124620,1271229770,374127661,1271226173,0,0,-255
72,1,374124620,1271229770,374127625,1271226215,0,0,-255
73,1,374124620,1271229770,374127589,1271226258,0,0,-255
74,1,374124620,1271229770,374127552,1271226301,0,0,-255
75,1,374124620,1271229770,374127513,1271226348,0,0,-255
76,1,374124620,1271229770,374127477,1271226390,0,0,-255
77,1,374124620,1271229770,374127441,1271226433,0,0,-255
78,1,374124620,1271229770,374127405,1271226475,0,0,-255
79,1,374124620,1271229770,374127369,1271226518,0,0,-255
80,1,374124620,1271229770,374127333,1271226561,0,0,-255
81,1,374124620,1271229770,374127297,1271226603,0,0,-255
82,1,374124620,1271229770,374127261,1271226645,0,0,-255
83,1,374124620,1271229770,374127225,1271226689,0,0,-255
84,1,374124620,1271229770,374127185,1271226736,0,0,-255
85,1,374124620,1271229770,374127149,1271226778,0,0,-255
86,1,374124620,1271229770,374127113,1271226820,0,0,-255
87,1,374124620,1271229770,374127077,1271226863,0,0,-255
88,1,374124620,1271229770,374127041,1271226906,0,0,-255
89,1,374124620,1271229770,374127005,1271226948,0,0,-255
90,1,374124620,1271229770,374126969,1271226991,0,0,-255
91,1,374124620,1271229770,374126933,1271227033,0,0,-255
92,1,374124620,1271229770,374126897,1271227076,0,0,-255
93,1,374124620,1271229770,374126858,1271227119,0,0,-255
94,1,374124620,1271229770,374126821,1271227166,0,0,-255
95,1,374124620,1271229770,374126785,1271227208,0,0,-255
96,1,374124620,1271229770,374126749,1271227251,0,0,-255
97,1,374124620,1271229770,374126713,1271227294,0,0,-255
98,1,374124620,1271229770,374126677,1271227336,0,0,-255
99,1,374124620,1271229770,374126641,1271227379,0,0,-255
100,1,374124620,1271229770,374126602,1271227421,0,0,-255
101,1,374124620,1271229770,374126569,1271227464,0,0,-255
102,1,374124620,1271229770,374126533,1271227506,0,0,-255
103,1,374124620,1271229770,374126497,1271227549,0,0,-255
104,1,374124620,1271229770,374126457,1271227596,0,0,-255
105,1,374124620,1271229770,374126421,1271227639,0,0,-255
106,1,374124620,1271229770,374126385,1271227681,0,0,-255
107,1,374124620,1271229770,374126346,1271227724,0,0,-255
108,1,374124620,1271229770,374126313,1271227767,0,0,-255
109,1,374124620,1271229770,374126277,1271227809,0,0,-255
110,1,374124620,1271229770,374126241,1271227852,0,0,-255
111,1,374124620,1271229770,374126205,1271227895,0,0,-255
112,1,374124620,1271229770,374126169,1271227937,0,0,-255
113,1,374124620,1271229770,374126133,1271227979,0,0,-255
114,1,374124620,1271229770,374126090,1271228027,0,0,-255
115,1,374124620,1271229770,374126057,1271228070,0,0,-255
116,1,374124620,1271229770,374126021,1271228112,0,0,-255
117,1,374124620,1271229770,374125985,1271228155,0,0,-255
118,1,374124620,1271229770,374125949,1271228197,0,0,-255
119,1,374124620,1271229770,374125913,1271228240,0,0,-255
120,1,374124620,1271229770,374125877,1271228282,0,0,-255
121,1,374124620,1271229770,374125841,1271228325,0,0,-255
122,1,374124620,1271229770,374125805,1271228368,0,0,-255
123,1,374124620,1271229770,374125765,1271228415,0,0,-255
124,1,374124620,1271229770,374125729,1271228458,0,0,-255
125,1,374124620,1271229770,374125693,1271228500,0,0,-255
126,1,374124620,1271229770,374125657,1271228543,0,0,-255
127,1,374124620,1271229770,374125621,1271228585,0,0,-255
128,1,374124620,1271229770,374125585,1271228628,0,0,-255
129,1,374124620,1271229770,374125549,1271228671,0,0,-255
130,1,374124620,1271229770,374125513,1271228713,0,0,-255
131,1,374124620,1271229770,374125476,1271228756,0,0,-255
132,1,374124620,1271229770,374125440,1271228799,0,0,-255
133,1,374124620,1271229770,374125404,1271228842,0,0,-255
134,1,374124620,1271229770,374125365,1271228888,0,0,-255
135,1,374124620,1271229770,374125329,1271228931,0,0,-255
136,1,374124620,1271229770,374125293,1271228974,0,0,-255
137,1,374124620,1271229770,374125256,1271229016,0,0,-255
138,1,374124620,1271229770,374125220,1271229059,0,0,-255
139,1,374124620,1271229770,374125184,1271229101,0,0,-255
140,1,374124620,1271229770,374125148,1271229145,0,0,-255
141,1,374124620,1271229770,374125112,1271229187,0,0,-255
142,1,374124620,1271229770,374125076,1271229230,0,0,-255
143,1,374124620,1271229770,374125036,1271229277,0,0,-255
144,1,374124620,1271229770,374125000,1271229319,0,0,-255
145,1,374124620,1271229770,374124964,1271229362,0,0,-255
146,1,374124620,1271229770,374124928,1271229404,0,0,-255
147,1,374124620,1271229770,374124892,1271229447,0,0,-255
148,1,374124620,1271229770,374124855,1271229490,0,0,-255
149,1,374124620,1271229770,374124819,1271229533,0,0,-255
150,1,374124620,1271229770,374124783,1271229576,0,0,-255
151,1,374124620,1271229770,374124747,1271229618,0,0,-255
152,1,374124620,1271229770,374124712,1271229661,0,0,-255
153,1,374124620,1271229770,374124672,1271229708,0,0,-255
154,1,374124620,1271229770,374124636,1271229750,0,0,-255
155,1,374124620,1271229770,374124600,1271229793,0,0,-255
156,1,374124620,1271229770,374124564,1271229835,0,0,-255
157,1,374124620,1271229770,374124527,1271229879,0,0,-255
158,1,374124620,1271229770,374124491,1271229921,0,0,-255
