index, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude, distance, rssi
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11,375559086,1270477619,375559212,1270475184,0,-255
12,375559086,1270477619,375559212,1270475184,0,-255
13,375559086,1270477619,375559212,1270475184,0,-255
14,375559086,1270477619,375559212,1270475184,0,-255
15,375559086,1270477619,375559212,1270475184,0,-255
16,375559086,1270477619,375559212,1270475184,0,-255
17,375559086,1270477619,375559212,1270475184,0,-255
18,375559086,1270477619,375559212,1270475184,0,-255
19,375559086,1270477619,375559212,1270475184,0,-255
20,375559086,1270477619,375559212,1270475184,0,-255
21,375559086,1270477619,375559212,1270475184,0,-255
22,375559086,1270477619,375559212,1270475184,0,-255
23,375559086,1270477619,375559212,1270475184,0,-255
24,375559086,1270477619,375559212,1270475184,0,-255
25,375559086,1270477619,375559212,1270475184,0,-255
26,375559086,1270477619,375559212,1270475184,0,-255
27,375559086,1270477619,375559212,1270475184,0,-255
28,375559086,1270477619,375559212,1270475184,0,-255
29,375559086,1270477619,375559212,1270475184,0,-255
30,375559086,1270477619,375559212,1270475184,0,-255
31,375559086,1270477619,375559212,1270475184,0,-255
32,375559086,1270477619,375559212,1270475184,0,-255
33,375559086,1270477619,375559212,1270475184,0,-255
34,375559086,1270477619,375559212,1270475184,0,-255
35,375559086,1270477619,375559212,1270475184,0,-255
36,375559086,1270477619,375559212,1270475184,0,-255
37,375559086,1270477619,375559212,1270475184,0,-255
38,375559086,1270477619,375559212,1270475184,0,-255
39,375559086,1270477619,375559212,1270475184,0,-255
40,375559086,1270477619,375559212,1270475184,0,-255
41,375559086,1270477619,375559212,1270475184,0,-255
42,375559086,1270477619,375559212,1270475184,0,-255
43,375559086,1270477619,375559212,1270475184,0,-255
44,375559086,1270477619,375559212,1270475184,0,-255
45,375559086,1270477619,375559210,1270475212,0,-255
46,375559086,1270477619,375559210,1270475212,0,-255
47,375559086,1270477619,375559210,1270475212,0,-255
48,375559086,1270477619,375559210,1270475212,0,-255
49,375559086,1270477619,375559210,1270475212,0,-255
50,375559086,1270477619,375559210,1270475212,0,-255
51,375559086,1270477619,375559210,1270475212,0,-255
52,375559086,1270477619,375559210,1270475212,0,-255
53,375559086,1270477619,375559210,1270475212,0,-255
54,375559086,1270477619,375559210,1270475212,0,-255
55,375559086,1270477619,375559210,1270475212,0,-255
56,375559086,1270477619,375559210,1270475212,0,-255
57,375559086,1270477619,375559210,1270475212,0,-255
58,375559086,1270477619,375559209,1270475236,0,-255
59,375559086,1270477619,375559209,1270475236,0,-255
60,375559086,1270477619,375559209,1270475236,0,-255
61,375559086,1270477619,375559209,1270475236,0,-255
62,375559086,1270477619,375559209,1270475236,0,-255
63,375559086,1270477619,375559209,1270475236,0,-255
64,375559086,1270477619,375559209,1270475236,0,-255
65,375559086,1270477619,375559209,1270475236,0,-255
66,375559086,1270477619,375559209,1270475236,0,-255
67,375559086,1270477619,375559209,1270475236,0,-255
68,375559086,1270477619,375559209,1270475236,0,-255
69,375559086,1270477619,375559209,1270475236,0,-255
70,375559086,1270477619,375559209,1270475236,0,-255
