index, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude, distance, rssi
1,375560713,1270477027,375560246,1270475569,0,-255
2,375560713,1270477027,375560245,1270475570,0,-255
3,375560713,1270477027,375560244,1270475571,0,-255
4,375560713,1270477027,375560243,1270475572,0,-255
5,375560713,1270477027,375560242,1270475573,0,-255
6,375560713,1270477027,375560240,1270475574,0,-255
7,375560713,1270477027,375560239,1270475575,0,-255
8,375560713,1270477027,375560238,1270475577,0,-255
9,375560713,1270477027,375560230,1270475584,0,-255
10,375560713,1270477027,375560229,1270475585,0,-255
11,375560713,1270477027,375560229,1270475585,0,-255
12,375560713,1270477027,375560228,1270475586,0,-255
13,375560713,1270477027,375560228,1270475586,0,-255
14,375560713,1270477027,375560227,1270475587,0,-255
15,375560713,1270477027,375560227,1270475587,0,-255
16,375560713,1270477027,375560226,1270475588,0,-255
17,375560713,1270477027,375560226,1270475588,0,-255
18,375560713,1270477027,375560225,1270475589,0,-255
19,375560713,1270477027,375560225,1270475590,0,-255
20,375560713,1270477027,375560224,1270475590,0,-255
21,375560713,1270477027,375560223,1270475591,0,-255
22,375560713,1270477027,375560223,1270475592,0,-255
23,375560713,1270477027,375560223,1270475592,0,-255
24,375560713,1270477027,375560223,1270475592,0,-255
25,375560713,1270477027,375560223,1270475592,0,-255
26,375560713,1270477027,375560224,1270475592,0,-255
27,375560713,1270477027,375560226,1270475591,0,-255
28,375560713,1270477027,375560228,1270475588,0,-255
29,375560713,1270477027,375560230,1270475586,0,-255
30,375560713,1270477027,375560232,1270475585,0,-255
31,375560713,1270477027,375560233,1270475585,0,-255
32,375560713,1270477027,375560233,1270475585,0,-255
33,375560713,1270477027,375560235,1270475584,0,-255
34,375560713,1270477027,375560236,1270475583,0,-255
35,375560713,1270477027,375560237,1270475582,0,-255
36,375560713,1270477027,375560249,1270475575,0,-255
37,375560713,1270477027,375560250,1270475574,0,-255
38,375560713,1270477027,375560252,1270475572,0,-255
39,375560713,1270477027,375560252,1270475571,0,-255
40,375560713,1270477027,375560253,1270475572,0,-255
41,375560713,1270477027,375560253,1270475572,0,-255
42,375560713,1270477027,375560253,1270475571,0,-255
43,375560713,1270477027,375560254,1270475570,0,-255
44,375560713,1270477027,375560255,1270475570,0,-255
45,375560713,1270477027,375560255,1270475570,0,-255
46,375560713,1270477027,375560255,1270475570,0,-255
47,375560713,1270477027,375560255,1270475569,0,-255
48,375560713,1270477027,375560256,1270475568,0,-255
49,375560713,1270477027,375560257,1270475567,0,-255
50,375560713,1270477027,375560256,1270475567,0,-255
51,375560713,1270477027,375560256,1270475568,0,-255
52,375560713,1270477027,375560255,1270475564,0,-255
53,375560713,1270477027,375560255,1270475564,0,-255
54,375560713,1270477027,375560255,1270475565,0,-255
55,375560713,1270477027,375560255,1270475564,0,-255
56,375560713,1270477027,375560255,1270475564,0,-255
57,375560713,1270477027,375560255,1270475563,0,-255
58,375560713,1270477027,375560254,1270475564,0,-255
59,375560713,1270477027,375560253,1270475565,0,-255
60,375560713,1270477027,375560252,1270475565,0,-255
61,375560713,1270477027,375560252,1270475565,0,-255
62,375560713,1270477027,375560251,1270475565,0,-255
63,375560713,1270477027,375560250,1270475566,0,-255
64,375560713,1270477027,375560249,1270475567,0,-255
65,375560713,1270477027,375560249,1270475567,0,-255
66,375560713,1270477027,375560249,1270475566,0,-255
67,375560713,1270477027,375560248,1270475566,0,-255
68,375560713,1270477027,375560247,1270475566,0,-255
69,375560713,1270477027,375560247,1270475567,0,-255
70,375560713,1270477027,375560246,1270475567,0,-255
71,375560713,1270477027,375560246,1270475566,0,-255
72,375560713,1270477027,375560245,1270475566,0,-255
73,375560713,1270477027,375560244,1270475567,0,-255
74,375560713,1270477027,375560243,1270475568,0,-255
75,375560713,1270477027,375560242,1270475568,0,-255
76,375560713,1270477027,375560242,1270475567,0,-255
77,375560713,1270477027,375560242,1270475567,0,-255
78,375560713,1270477027,375560241,1270475567,0,-255
79,375560713,1270477027,375560239,1270475568,0,-255
80,375560713,1270477027,375560238,1270475568,0,-255
81,375560713,1270477027,375560238,1270475568,0,-255
82,375560713,1270477027,375560238,1270475568,0,-255
83,375560713,1270477027,375560237,1270475568,0,-255
84,375560713,1270477027,375560236,1270475569,0,-255
85,375560713,1270477027,375560235,1270475569,0,-255
86,375560713,1270477027,375560235,1270475568,0,-255
87,375560713,1270477027,375560234,1270475568,0,-255
88,375560713,1270477027,375560233,1270475569,0,-255
89,375560713,1270477027,375560232,1270475569,0,-255
90,375560713,1270477027,375560231,1270475570,0,-255
91,375560713,1270477027,375560230,1270475569,0,-255
92,375560713,1270477027,375560230,1270475569,0,-255
93,375560713,1270477027,375560229,1270475569,0,-255
94,375560713,1270477027,375560228,1270475569,0,-255
95,375560713,1270477027,375560227,1270475570,0,-255
96,375560713,1270477027,375560226,1270475570,0,-255
97,375560713,1270477027,375560225,1270475571,0,-255
98,375560713,1270477027,375560223,1270475572,0,-255
99,375560713,1270477027,375560222,1270475573,0,-255
100,375560713,1270477027,375560220,1270475575,0,-255
101,375560713,1270477027,375560219,1270475575,0,-255
102,375560713,1270477027,375560218,1270475576,0,-255
103,375560713,1270477027,375560216,1270475577,0,-255
104,375560713,1270477027,375560215,1270475578,0,-255
105,375560713,1270477027,375560213,1270475579,0,-255
106,375560713,1270477027,375560213,1270475578,0,-255
107,375560713,1270477027,375560212,1270475578,0,-255
108,375560713,1270477027,375560211,1270475579,0,-255
109,375560713,1270477027,375560209,1270475580,0,-255
