index, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude, distance, rssi
84, 375560713, 1270477027, 375558754, 1270476744, 0.000000, -66
85, 375560713, 1270477027, 375558754, 1270476744, 0.000000, -66
86, 375560713, 1270477027, 375558754, 1270476744, 0.000000, -66
87, 375560713, 1270477027, 375558754, 1270476744, 0.000000, -66
88, 375560713, 1270477027, 375558754, 1270476746, 0.000000, -66
89, 375560713, 1270477027, 375558729, 1270476894, 0.000000, -66
90, 375560713, 1270477027, 375558729, 1270476894, 0.000000, -66
91, 375560713, 1270477027, 375558729, 1270476894, 0.000000, -66
92, 375560713, 1270477027, 375558729, 1270476894, 0.000000, -66
93, 375560713, 1270477027, 375558729, 1270476895, 0.000000, -66
94, 375560713, 1270477027, 375558729, 1270476897, 0.000000, -66
95, 375560713, 1270477027, 375558729, 1270476898, 0.000000, -66
96, 375560713, 1270477027, 375558729, 1270476899, 0.000000, -66
97, 375560713, 1270477027, 375558729, 1270476899, 0.000000, -66
98, 375560713, 1270477027, 375558729, 1270476899, 0.000000, -66
99, 375560713, 1270477027, 375558714, 1270477047, 0.000000, -66
100, 375560713, 1270477027, 375558714, 1270477048, 0.000000, -66
101, 375560713, 1270477027, 375558714, 1270477048, 0.000000, -66
102, 375560713, 1270477027, 375558714, 1270477048, 0.000000, -66
103, 375560713, 1270477027, 375558714, 1270477048, 0.000000, -66
104, 375560713, 1270477027, 375558714, 1270477049, 0.000000, -66
105, 375560713, 1270477027, 375558714, 1270477051, 0.000000, -66
106, 375560713, 1270477027, 375558714, 1270477052, 0.000000, -66
107, 375560713, 1270477027, 375558714, 1270477053, 0.000000, -66
108, 375560713, 1270477027, 375558714, 1270477054, 0.000000, -66
109, 375560713, 1270477027, 375558702, 1270477222, 0.000000, -66
110, 375560713, 1270477027, 375558702, 1270477223, 0.000000, -66
111, 375560713, 1270477027, 375558702, 1270477224, 0.000000, -66
112, 375560713, 1270477027, 375558702, 1270477224, 0.000000, -66
113, 375560713, 1270477027, 375558702, 1270477224, 0.000000, -66
114, 375560713, 1270477027, 375558702, 1270477225, 0.000000, -66
115, 375560713, 1270477027, 375558702, 1270477226, 0.000000, -66
116, 375560713, 1270477027, 375558702, 1270477228, 0.000000, -66
117, 375560713, 1270477027, 375558702, 1270477229, 0.000000, -66
118, 375560713, 1270477027, 375558702, 1270477229, 0.000000, -66
119, 375560713, 1270477027, 375558689, 1270477388, 0.000000, -66
120, 375560713, 1270477027, 375558689, 1270477389, 0.000000, -66
121, 375560713, 1270477027, 375558689, 1270477390, 0.000000, -66
122, 375560713, 1270477027, 375558689, 1270477390, 0.000000, -66
123, 375560713, 1270477027, 375558689, 1270477390, 0.000000, -66
124, 375560713, 1270477027, 375558689, 1270477390, 0.000000, -66
125, 375560713, 1270477027, 375558689, 1270477392, 0.000000, -66
126, 375560713, 1270477027, 375558689, 1270477393, 0.000000, -66
127, 375560713, 1270477027, 375558689, 1270477395, 0.000000, -66
128, 375560713, 1270477027, 375558689, 1270477395, 0.000000, -66
129, 375560713, 1270477027, 375558672, 1270477565, 0.000000, -66
130, 375560713, 1270477027, 375558672, 1270477566, 0.000000, -66
131, 375560713, 1270477027, 375558672, 1270477567, 0.000000, -66
132, 375560713, 1270477027, 375558672, 1270477568, 0.000000, -66
133, 375560713, 1270477027, 375558672, 1270477569, 0.000000, -66
134, 375560713, 1270477027, 375558672, 1270477569, 0.000000, -66
135, 375560713, 1270477027, 375558672, 1270477571, 0.000000, -66
136, 375560713, 1270477027, 375558672, 1270477572, 0.000000, -66
137, 375560713, 1270477027, 375558672, 1270477574, 0.000000, -66
138, 375560713, 1270477027, 375558672, 1270477574, 0.000000, -66
139, 375560713, 1270477027, 375558643, 1270477744, 0.000000, -66
140, 375560713, 1270477027, 375558643, 1270477744, 0.000000, -66
141, 375560713, 1270477027, 375558643, 1270477746, 0.000000, -66
142, 375560713, 1270477027, 375558643, 1270477747, 0.000000, -66
143, 375560713, 1270477027, 375558643, 1270477748, 0.000000, -66
144, 375560713, 1270477027, 375558643, 1270477748, 0.000000, -66
145, 375560713, 1270477027, 375558643, 1270477749, 0.000000, -66
146, 375560713, 1270477027, 375558643, 1270477751, 0.000000, -66
147, 375560713, 1270477027, 375558643, 1270477753, 0.000000, -66
148, 375560713, 1270477027, 375558642, 1270477754, 0.000000, -66
149, 375560713, 1270477027, 375558606, 1270477929, 0.000000, -66
150, 375560713, 1270477027, 375558606, 1270477929, 0.000000, -66
151, 375560713, 1270477027, 375558606, 1270477931, 0.000000, -66
152, 375560713, 1270477027, 375558606, 1270477933, 0.000000, -66
153, 375560713, 1270477027, 375558606, 1270477934, 0.000000, -66
154, 375560713, 1270477027, 375558606, 1270477935, 0.000000, -66
155, 375560713, 1270477027, 375558606, 1270477936, 0.000000, -66
156, 375560713, 1270477027, 375558606, 1270477937, 0.000000, -66
157, 375560713, 1270477027, 375558605, 1270477940, 0.000000, -66
158, 375560713, 1270477027, 375558605, 1270477942, 0.000000, -66
159, 375560713, 1270477027, 375558567, 1270478109, 0.000000, -66
160, 375560713, 1270477027, 375558567, 1270478109, 0.000000, -66
161, 375560713, 1270477027, 375558567, 1270478111, 0.000000, -66
162, 375560713, 1270477027, 375558567, 1270478113, 0.000000, -66
163, 375560713, 1270477027, 375558567, 1270478114, 0.000000, -66
