index,type, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,per, distance, rssi
1,1,375552472,1270477786,375555661,1270473241,0,0,-255
2,1,375552472,1270477786,375555963,1270473220,0,0,-255
3,1,375552472,1270477786,375555963,1270473220,0,0,-255
4,1,375552472,1270477786,375555963,1270473220,0,0,-255
5,1,375552472,1270477786,375555963,1270473220,0,0,-255
6,1,375552472,1270477786,375555963,1270473220,0,0,-255
7,1,375552472,1270477786,375555963,1270473220,0,0,-255
8,1,375552472,1270477786,375555963,1270473220,0,0,-255
9,1,375552472,1270477786,375555963,1270473220,0,0,-255
10,1,375552472,1270477786,375555963,1270473220,0,0,-255
11,1,375552472,1270477786,375556011,1270473215,0,0,-255
12,1,375552472,1270477786,375556011,1270473215,0,0,-75
13,1,375552472,1270477786,375556011,1270473215,0,0,-75
14,1,375552472,1270477786,375556011,1270473215,0,0,-75
15,1,375552472,1270477786,375556011,1270473215,0,0,-75
16,1,375552472,1270477786,375556011,1270473215,0,0,-75
17,1,375552472,1270477786,375556011,1270473215,0,0,-77
18,1,375552472,1270477786,375556011,1270473215,0,0,-64
19,1,375552472,1270477786,375556011,1270473215,0,0,-64
20,1,375552472,1270477786,375556066,1270473185,0,0,-70
21,1,375552472,1270477786,375556066,1270473185,0,0,-70
22,1,375552472,1270477786,375556066,1270473185,0,0,-70
23,1,375552472,1270477786,375556066,1270473185,0,0,-70
24,1,375552472,1270477786,375556066,1270473185,0,0,-70
25,1,375552472,1270477786,375556066,1270473185,0,0,-70
26,1,375552472,1270477786,375556066,1270473185,0,0,-70
27,1,375552472,1270477786,375556066,1270473185,0,0,-70
28,1,375552472,1270477786,375556066,1270473185,0,0,-70
29,1,375552472,1270477786,375556066,1270473185,0,0,-70
30,1,375552472,1270477786,375556164,1270473194,0,0,-70
31,1,375552472,1270477786,375556164,1270473194,0,0,-70
32,1,375552472,1270477786,375556164,1270473194,0,0,-70
33,1,375552472,1270477786,375556164,1270473194,0,0,-70
34,1,375552472,1270477786,375556164,1270473194,0,0,-70
35,1,375552472,1270477786,375556164,1270473194,0,0,-70
36,1,375552472,1270477786,375556164,1270473194,0,0,-70
37,1,375552472,1270477786,375556164,1270473194,0,0,-70
38,1,375552472,1270477786,375556164,1270473194,0,0,-70
39,1,375552472,1270477786,375556164,1270473194,0,0,-70
40,1,375552472,1270477786,375556246,1270473210,0,0,-70
41,1,375552472,1270477786,375556246,1270473210,0,0,-70
42,1,375552472,1270477786,375556246,1270473210,0,0,-70
43,1,375552472,1270477786,375556246,1270473210,0,0,-70
44,1,375552472,1270477786,375556246,1270473210,0,0,-70
45,1,375552472,1270477786,375556246,1270473210,0,0,-70
46,1,375552472,1270477786,375556246,1270473210,0,0,-70
47,1,375552472,1270477786,375556246,1270473210,0,0,-70
48,1,375552472,1270477786,375556246,1270473210,0,0,-70
49,1,375552472,1270477786,375556246,1270473210,0,0,-70
50,1,375552472,1270477786,375556298,1270473247,0,0,-63
51,1,375552472,1270477786,375556298,1270473247,0,0,-63
52,1,375552472,1270477786,375556298,1270473247,0,0,-63
53,1,375552472,1270477786,375556298,1270473247,0,0,-63
54,1,375552472,1270477786,375556298,1270473247,0,0,-63
55,1,375552472,1270477786,375556298,1270473247,0,0,-68
56,1,375552472,1270477786,375556298,1270473247,0,0,-68
57,1,375552472,1270477786,375556298,1270473247,0,0,-68
58,1,375552472,1270477786,375556298,1270473247,0,0,-68
59,1,375552472,1270477786,375556431,1270473314,0,0,-66
60,1,375552472,1270477786,375556431,1270473314,0,0,-66
61,1,375552472,1270477786,375556431,1270473314,0,0,-66
62,1,375552472,1270477786,375556431,1270473314,0,0,-66
63,1,375552472,1270477786,375556431,1270473314,0,0,-66
64,1,375552472,1270477786,375556431,1270473314,0,0,-66
65,1,375552472,1270477786,375556431,1270473314,0,0,-66
66,1,375552472,1270477786,375556431,1270473314,0,0,-66
67,1,375552472,1270477786,375556431,1270473314,0,0,-66
68,1,375552472,1270477786,375556431,1270473314,0,0,-66
69,1,375552472,1270477786,375556601,1270473410,0,0,-66
70,1,375552472,1270477786,375556601,1270473410,0,0,-66
71,1,375552472,1270477786,375556601,1270473410,0,0,-66
72,1,375552472,1270477786,375556601,1270473410,0,0,-66
73,1,375552472,1270477786,375556601,1270473410,0,0,-66
74,1,375552472,1270477786,375556601,1270473410,0,0,-66
75,1,375552472,1270477786,375556601,1270473410,0,0,-66
76,1,375552472,1270477786,375556601,1270473410,0,0,-66
77,1,375552472,1270477786,375556601,1270473410,0,0,-66
78,1,375552472,1270477786,375556601,1270473410,0,0,-66
79,1,375552472,1270477786,375556749,1270473509,0,0,-66
80,1,375552472,1270477786,375556749,1270473509,0,0,-66
81,1,375552472,1270477786,375556749,1270473509,0,0,-66
82,1,375552472,1270477786,375556749,1270473509,0,0,-66
83,1,375552472,1270477786,375556749,1270473509,0,0,-66
84,1,375552472,1270477786,375556749,1270473509,0,0,-66
85,1,375552472,1270477786,375556749,1270473509,0,0,-66
86,1,375552472,1270477786,375556749,1270473509,0,0,-66
87,1,375552472,1270477786,375556749,1270473509,0,0,-66
88,1,375552472,1270477786,375556749,1270473509,0,0,-66
89,1,375552472,1270477786,375556866,1270473660,0,0,-66
90,1,375552472,1270477786,375556866,1270473660,0,0,-66
91,1,375552472,1270477786,375556866,1270473660,0,0,-66
92,1,375552472,1270477786,375556866,1270473660,0,0,-66
93,1,375552472,1270477786,375556866,1270473660,0,0,-66
94,1,375552472,1270477786,375556866,1270473660,0,0,-66
95,1,375552472,1270477786,375556866,1270473660,0,0,-66
96,1,375552472,1270477786,375556866,1270473660,0,0,-66
97,1,375552472,1270477786,375556866,1270473660,0,0,-66
98,1,375552472,1270477786,375556866,1270473660,0,0,-66
99,1,375552472,1270477786,375556950,1270473852,0,0,-66
100,1,375552472,1270477786,375556950,1270473852,0,0,-66
101,1,375552472,1270477786,375556950,1270473852,0,0,-66
102,1,375552472,1270477786,375556950,1270473852,0,0,-66
103,1,375552472,1270477786,375556950,1270473852,0,0,-66
104,1,375552472,1270477786,375556950,1270473852,0,0,-66
105,1,375552472,1270477786,375556950,1270473852,0,0,-66
106,1,375552472,1270477786,375556950,1270473852,0,0,-66
107,1,375552472,1270477786,375556950,1270473852,0,0,-66
108,1,375552472,1270477786,375556950,1270473852,0,0,-66
109,1,375552472,1270477786,375556950,1270474072,0,0,-66
110,1,375552472,1270477786,375556950,1270474072,0,0,-66
111,1,375552472,1270477786,375556950,1270474072,0,0,-66
112,1,375552472,1270477786,375556950,1270474072,0,0,-66
113,1,375552472,1270477786,375556950,1270474072,0,0,-66
114,1,375552472,1270477786,375556950,1270474072,0,0,-66
115,1,375552472,1270477786,375556950,1270474072,0,0,-66
116,1,375552472,1270477786,375556950,1270474072,0,0,-66
117,1,375552472,1270477786,375556950,1270474072,0,0,-66
118,1,375552472,1270477786,375556950,1270474072,0,0,-66
119,1,375552472,1270477786,375556899,1270474298,0,0,-66
120,1,375552472,1270477786,375556899,1270474298,0,0,-66
121,1,375552472,1270477786,375556899,1270474298,0,0,-66
122,1,375552472,1270477786,375556899,1270474298,0,0,-66
123,1,375552472,1270477786,375556899,1270474298,0,0,-66
124,1,375552472,1270477786,375556899,1270474298,0,0,-66
125,1,375552472,1270477786,375556899,1270474298,0,0,-66
126,1,375552472,1270477786,375556899,1270474298,0,0,-66
127,1,375552472,1270477786,375556899,1270474298,0,0,-66
128,1,375552472,1270477786,375556899,1270474298,0,0,-66
129,1,375552472,1270477786,375556786,1270474499,0,0,-66
130,1,375552472,1270477786,375556786,1270474499,0,0,-66
131,1,375552472,1270477786,375556786,1270474499,0,0,-66
132,1,375552472,1270477786,375556786,1270474499,0,0,-66
133,1,375552472,1270477786,375556632,1270474655,0,0,-66
134,1,375552472,1270477786,375556632,1270474655,0,0,-66
135,1,375552472,1270477786,375556632,1270474655,0,0,-66
136,1,375552472,1270477786,375556632,1270474655,0,0,-66
