index, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude, distance, rssi
1,375559086,1270477619,375560092,1270475426,0,-255
2,375559086,1270477619,375560092,1270475426,0,-255
3,375559086,1270477619,375560092,1270475426,0,-255
4,375559086,1270477619,375560092,1270475426,0,-255
5,375559086,1270477619,375560096,1270475430,0,-255
6,375559086,1270477619,375560099,1270475434,0,-255
7,375559086,1270477619,375560099,1270475434,0,-255
8,375559086,1270477619,375560103,1270475437,0,-255
9,375559086,1270477619,375560105,1270475440,0,-255
10,375559086,1270477619,375560054,1270475441,0,-255
11,375559086,1270477619,375560054,1270475441,0,-255
12,375559086,1270477619,375560054,1270475441,0,-255
13,375559086,1270477619,375560054,1270475441,0,-255
14,375559086,1270477619,375560051,1270475448,0,-255
15,375559086,1270477619,375560051,1270475448,0,-255
16,375559086,1270477619,375560048,1270475455,0,-255
17,375559086,1270477619,375560048,1270475455,0,-255
18,375559086,1270477619,375560048,1270475455,0,-255
19,375559086,1270477619,375560048,1270475455,0,-255
20,375559086,1270477619,375560048,1270475455,0,-255
21,375559086,1270477619,375560048,1270475455,0,-255
22,375559086,1270477619,375560048,1270475455,0,-255
23,375559086,1270477619,375560048,1270475455,0,-255
24,375559086,1270477619,375560046,1270475460,0,-255
25,375559086,1270477619,375560043,1270475465,0,-255
26,375559086,1270477619,375560043,1270475465,0,-255
27,375559086,1270477619,375560043,1270475465,0,-255
28,375559086,1270477619,375560043,1270475465,0,-255
29,375559086,1270477619,375560043,1270475465,0,-255
30,375559086,1270477619,375560043,1270475465,0,-255
31,375559086,1270477619,375560041,1270475470,0,-255
32,375559086,1270477619,375560043,1270475465,0,-255
33,375559086,1270477619,375560043,1270475465,0,-255
34,375559086,1270477619,375560043,1270475465,0,-255
35,375559086,1270477619,375560046,1270475460,0,-255
36,375559086,1270477619,375560048,1270475455,0,-255
37,375559086,1270477619,375560048,1270475455,0,-255
38,375559086,1270477619,375560048,1270475455,0,-255
39,375559086,1270477619,375560051,1270475448,0,-255
40,375559086,1270477619,375560054,1270475441,0,-255
41,375559086,1270477619,375560054,1270475441,0,-255
42,375559086,1270477619,375560054,1270475441,0,-255
