index,tyop, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,per, distance, rssi
1,1,375560713,1270477027,375555294,1270470513,1,0,-255
2,1,375560713,1270477027,375555294,1270470513,1,0,-255
3,1,375560713,1270477027,375555294,1270470514,1,0,-255
4,1,375560713,1270477027,375555294,1270470515,1,0,-255
5,1,375560713,1270477027,375555294,1270470515,1,0,-255
6,1,375560713,1270477027,375555294,1270470516,1,0,-255
7,1,375560713,1270477027,375555294,1270470517,1,0,-255
8,1,375560713,1270477027,375555294,1270470518,1,0,-255
9,1,375560713,1270477027,375555294,1270470518,1,0,-255
10,1,375560713,1270477027,375555313,1270470592,1,0,-255
11,1,375560713,1270477027,375555317,1270470617,1,0,-255
12,1,375560713,1270477027,375555317,1270470617,1,0,-255
13,1,375560713,1270477027,375555317,1270470618,1,0,-255
14,1,375560713,1270477027,375555317,1270470618,1,0,-255
15,1,375560713,1270477027,375555317,1270470618,1,0,-255
16,1,375560713,1270477027,375555317,1270470618,1,0,-255
17,1,375560713,1270477027,375555317,1270470618,1,0,-255
18,1,375560713,1270477027,375555317,1270470618,1,0,-255
19,1,375560713,1270477027,375555317,1270470618,1,0,-255
20,1,375560713,1270477027,375555318,1270470618,1,0,-255
21,1,375560713,1270477027,375555319,1270470640,1,0,-255
22,1,375560713,1270477027,375555319,1270470640,1,0,-255
23,1,375560713,1270477027,375555319,1270470640,1,0,-255
24,1,375560713,1270477027,375555320,1270470640,1,0,-255
25,1,375560713,1270477027,375555320,1270470641,1,0,-255
26,1,375560713,1270477027,375555321,1270470641,1,0,-255
27,1,375560713,1270477027,375555321,1270470641,1,0,-255
28,1,375560713,1270477027,375555322,1270470639,1,0,-255
29,1,375560713,1270477027,375555322,1270470638,1,0,-255
30,1,375560713,1270477027,375555323,1270470637,1,0,-255
31,1,375560713,1270477027,375555396,1270470735,1,0,-255
32,1,375560713,1270477027,375555397,1270470735,1,0,-255
33,1,375560713,1270477027,375555397,1270470734,1,0,-255
34,1,375560713,1270477027,375555398,1270470732,1,0,-255
35,1,375560713,1270477027,375555399,1270470731,1,0,-255
36,1,375560713,1270477027,375555399,1270470731,1,0,-255
37,1,375560713,1270477027,375555400,1270470731,1,0,-255
38,1,375560713,1270477027,375555401,1270470731,1,0,-255
39,1,375560713,1270477027,375555401,1270470730,1,0,-255
40,1,375560713,1270477027,375555456,1270470883,1,0,-255
41,1,375560713,1270477027,375555456,1270470883,1,0,-255
42,1,375560713,1270477027,375555457,1270470882,1,0,-255
43,1,375560713,1270477027,375555457,1270470882,1,0,-255
44,1,375560713,1270477027,375555458,1270470881,1,0,-255
45,1,375560713,1270477027,375555458,1270470881,1,0,-255
46,1,375560713,1270477027,375555459,1270470880,1,0,-255
47,1,375560713,1270477027,375555459,1270470880,1,0,-255
48,1,375560713,1270477027,375555460,1270470881,1,0,-255
49,1,375560713,1270477027,375555460,1270470880,1,0,-255
50,1,375560713,1270477027,375555483,1270471057,1,0,-255
51,1,375560713,1270477027,375555484,1270471057,1,0,-255
